Gallery thumbnail regeneration
------------------------------
Mode: APPLY
Base URL: http://localhost:3000
Viewport: 1280x720
Settle delay: 1700ms
Smart entry selection: ON
Placeholder items skipped: 0 (0 stale thumbnails deleted)
Real candidates: 125 (from 125 total active items)
(If nothing is listening on your base URL, loopback hosts fall back to a temporary static server from public/.)

Base URL unavailable at http://localhost:3000; starting temporary static server from public\ ...
Using temporary static server: http://127.0.0.1:63853
[1/125] OK  systems-operations-hero-component-v2 -> animations/operations/systems-operations-hero-component-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[2/125] OK  revops-neural-dashboard-v2 -> animations/operations/revops-neural-dashboard-v2/app-v2.html (elements=129, canvas=0, svg=13, img=0, video=0, card=0)
[3/125] OK  revops-mesh-dashboard-v2 -> animations/operations/revops-mesh-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[4/125] OK  revops-data-sync-mesh-tile-v2 -> animations/operations/revops-data-sync-mesh-tile-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[5/125] OK  revenue-systems-data-flow-v2 -> animations/operations/revenue-systems-data-flow-v2/revenuesystems-v2.html (elements=145, canvas=0, svg=13, img=0, video=0, card=0)
[6/125] OK  pipeline-command-center-v2 -> animations/operations/pipeline-command-center-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[7/125] OK  martech-ai-dashboard-engine-v2 -> animations/operations/martech-ai-dashboard-engine-v2/martechtile-v2.html (elements=118, canvas=0, svg=11, img=0, video=0, card=0)
[8/125] OK  marketingai-neural-dashboard-v2 -> animations/operations/marketingai-neural-dashboard-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[9/125] OK  marketingai-intelligence-dashboard-v2 -> animations/operations/marketingai-intelligence-dashboard-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[10/125] OK  marketing-revenue-analytics-v2 -> animations/operations/marketing-revenue-analytics-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[11/125] OK  marketing-operations-workflow-tile-v2 -> animations/operations/marketing-operations-workflow-tile-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[12/125] OK  marketing-analytics-carousel-v3 -> animations/operations/marketing-analytics-carousel-v3/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[13/125] OK  live-email-automation-ecosystem-v3 -> animations/operations/live-email-automation-ecosystem-v3/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[14/125] OK  lifecycle-engine-dashboard-v2 -> animations/operations/lifecycle-engine-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[15/125] OK  enterprise-sales-motion-dashboard-v2 -> animations/operations/enterprise-sales-motion-dashboard-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[16/125] OK  wellv3-landing-page-health-journey-tile-v2 -> animations/industries/wellv3-landing-page-health-journey-tile-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[17/125] OK  waste-management-ai-hero-component-v2 -> animations/industries/waste-management-ai-hero-component-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[18/125] OK  utilities-command-center-tile-v2 -> animations/industries/utilities-command-center-tile-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[19/125] OK  telco-ai-infrastructure-tile-v2 -> animations/industries/telco-ai-infrastructure-tile-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[20/125] OK  student-lifecycle-analytics-dashboard-v2 -> animations/industries/student-lifecycle-analytics-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[21/125] OK  scalability-telemetry-radar-v2 -> animations/industries/scalability-telemetry-radar-v2/app-v2.html (elements=126, canvas=0, svg=13, img=0, video=0, card=0)
[22/125] OK  saas-premium-analytics-component-v2 -> animations/industries/saas-premium-analytics-component-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[23/125] OK  retail-pulse-analytics-tile-v2 -> animations/industries/retail-pulse-analytics-tile-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[24/125] OK  powergrid-digital-modernization-dashboard-v2 -> animations/industries/powergrid-digital-modernization-dashboard-v2/app-v2.html (elements=136, canvas=0, svg=13, img=0, video=0, card=0)
[25/125] OK  oil-gas-performance-tile-component-v2 -> animations/industries/oil-gas-performance-tile-component-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[26/125] OK  nonprofithero-impact-visualization-v2 -> animations/industries/nonprofithero-impact-visualization-v2/ngosdotile-v2.html (elements=13, canvas=0, svg=0, img=0, video=0, card=0)
[27/125] OK  nexus-industrial-dashboard-v2 -> animations/industries/nexus-industrial-dashboard-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[28/125] OK  manufacturinghero-dashboard-tile-v2 -> animations/industries/manufacturinghero-dashboard-tile-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[29/125] OK  manufacturing-hero-dashboard-tile-v2 -> animations/industries/manufacturing-hero-dashboard-tile-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[30/125] OK  manufacturing-agency-dashboard-v2 -> animations/industries/manufacturing-agency-dashboard-v2/app-v2.html (elements=142, canvas=0, svg=13, img=0, video=0, card=0)
[31/125] OK  industrial-roi-dashboard-v2 -> animations/industries/industrial-roi-dashboard-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[32/125] OK  grid-master-cyber-infrastructure-dashboard-v2 -> animations/industries/grid-master-cyber-infrastructure-dashboard-v2/utilitiestile-v2.html (elements=157, canvas=0, svg=6, img=0, video=0, card=0)
[33/125] OK  fleetoptima-driver-performance-tile-v2 -> animations/industries/fleetoptima-driver-performance-tile-v2/app-v2.html (elements=142, canvas=0, svg=13, img=0, video=0, card=0)
[34/125] OK  fleet-roi-calculator-v2 -> animations/industries/fleet-roi-calculator-v2/app-v2.html (elements=144, canvas=0, svg=13, img=0, video=0, card=0)
[35/125] OK  fintech-growth-studio-animated-sales-tile-v2 -> animations/industries/fintech-growth-studio-animated-sales-tile-v2/app-v2.html (elements=126, canvas=0, svg=13, img=0, video=0, card=0)
[36/125] OK  fintech-growth-animated-sales-tile-v3 -> animations/industries/fintech-growth-animated-sales-tile-v3/app-v2.html (elements=126, canvas=0, svg=13, img=0, video=0, card=0)
[37/125] OK  finservtile-interactive-financial-data-visualization-v2 -> animations/industries/finservtile-interactive-financial-data-visualization-v2/finservtile-v2.html (elements=13, canvas=0, svg=0, img=0, video=0, card=0)
[38/125] OK  financial-technology-growth-tile-v2 -> animations/industries/financial-technology-growth-tile-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[39/125] OK  industries-enterprise-sales-motion-dashboard-v2 -> animations/industries/enterprise-sales-motion-dashboard-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[40/125] OK  engineering-excellence-workflow-system-v2 -> animations/industries/engineering-excellence-workflow-system-v2/app-v2.html (elements=144, canvas=0, svg=13, img=0, video=0, card=0)
[41/125] OK  energyflow-minimal-dashboard-v2 -> animations/industries/energyflow-minimal-dashboard-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[42/125] OK  education-journey-k-12-ecosystem-v2 -> animations/industries/education-journey-k-12-ecosystem-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[43/125] OK  edu-marketers-dashboard-v2 -> animations/industries/edu-marketers-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[44/125] OK  edu-hero-analytics-dashboard-v2 -> animations/industries/edu-hero-analytics-dashboard-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[45/125] OK  edtech-compact-roi-funnel-v3 -> animations/industries/edtech-compact-roi-funnel-v3/app-v2.html (elements=144, canvas=0, svg=13, img=0, video=0, card=0)
[46/125] OK  dynamic-wealth-dashboard-tile-v2 -> animations/industries/dynamic-wealth-dashboard-tile-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[47/125] OK  devmarketers-bottom-up-adoption-loop-v2 -> animations/industries/devmarketers-bottom-up-adoption-loop-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[48/125] OK  devconsole-content-workflow-v2 -> animations/industries/devconsole-content-workflow-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[49/125] OK  cyberagency-lifecycle-engine-v2 -> animations/industries/cyberagency-lifecycle-engine-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[50/125] OK  clinical-validation-surface-dash-v2 -> animations/industries/clinical-validation-surface-dash-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[51/125] OK  clinical-holographic-control-surface-v2 -> animations/industries/clinical-holographic-control-surface-v2/app-v2.html (elements=140, canvas=0, svg=13, img=0, video=0, card=0)
[52/125] OK  b2b-consulting-portfolio-gtmstack-pro -> animations/industries/b2b-consulting-portfolio-gtmstack-pro/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[53/125] OK  automotivehero-growth-dashboard-tile-v2 -> animations/industries/automotivehero-growth-dashboard-tile-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[54/125] OK  automotivehero-dashboard-component-v2 -> animations/industries/automotivehero-dashboard-component-v2/app-v2.html (elements=126, canvas=0, svg=13, img=0, video=0, card=0)
[55/125] OK  automotive-hero-dashboard-component-v2 -> animations/industries/automotive-hero-dashboard-component-v2/app-v2.html (elements=141, canvas=0, svg=13, img=0, video=0, card=0)
[56/125] OK  aerospace-auto-engineering-workflow-v2 -> animations/industries/aerospace-auto-engineering-workflow-v2/app-v2.html (elements=125, canvas=0, svg=13, img=0, video=0, card=0)
[57/125] OK  social-media-marketing-hero-tile-v2 -> animations/events-media/social-media-marketing-hero-tile-v2/app-v2.html (elements=133, canvas=0, svg=13, img=0, video=0, card=0)
[58/125] OK  executive-logistics-dashboard-v3 -> animations/events-media/executive-logistics-dashboard-v3/app-v2.html (elements=133, canvas=0, svg=13, img=0, video=0, card=0)
[59/125] OK  eventpulse-enterprise-dashboard-v2 -> animations/events-media/eventpulse-enterprise-dashboard-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[60/125] OK  event-roi-analytics-dashboard-v2 -> animations/events-media/event-roi-analytics-dashboard-v2/app-v2.html (elements=133, canvas=0, svg=13, img=0, video=0, card=0)
[61/125] OK  event-pulse-enterprise-dashboard-v2 -> animations/events-media/event-pulse-enterprise-dashboard-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[62/125] OK  eoc-logistics-dashboard-v2 -> animations/events-media/eoc-logistics-dashboard-v2/app-v2.html (elements=133, canvas=0, svg=13, img=0, video=0, card=0)
[63/125] OK  agency-performance-console-v2 -> animations/events-media/agency-performance-console-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[64/125] OK  agency-impact-dashboard-v2 -> animations/events-media/agency-impact-dashboard-v2/app-v2.html (elements=134, canvas=0, svg=13, img=0, video=0, card=0)
[65/125] OK  video-marketing-analytics-dashboard-v2 -> animations/digital-demand/video-marketing-analytics-dashboard-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[66/125] OK  video-marketing-ai-distribution-hub-v2 -> animations/digital-demand/video-marketing-ai-distribution-hub-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[67/125] OK  vibrant-impact-dashboard-v2 -> animations/digital-demand/vibrant-impact-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[68/125] OK  strategyinsights-tile-component-v2 -> animations/digital-demand/strategyinsights-tile-component-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[69/125] OK  strategist-os-dashboard-v2 -> animations/digital-demand/strategist-os-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[70/125] OK  sequenceflow-animated-tile-v2 -> animations/digital-demand/sequenceflow-animated-tile-v2/emailseqtile-v2.html (elements=165, canvas=0, svg=12, img=0, video=0, card=0)
[71/125] OK  sequence-ladder-analytics-tile-v2 -> animations/digital-demand/sequence-ladder-analytics-tile-v2/emailladdertile-v2.html (elements=15, canvas=0, svg=0, img=0, video=0, card=0)
[72/125] OK  sales-enablement-hero-animated-tile-v2 -> animations/digital-demand/sales-enablement-hero-animated-tile-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[73/125] OK  product-growth-hero-v2 -> animations/digital-demand/product-growth-hero-v2/productphasetile-v2.html (elements=127, canvas=0, svg=7, img=2, video=0, card=0)
[74/125] OK  omnichannel-live-analytics-tile-v2 -> animations/digital-demand/omnichannel-live-analytics-tile-v2/app-v2.html (elements=131, canvas=0, svg=13, img=0, video=0, card=0)
[75/125] OK  nexus-ai-stakeholder-portal-v2 -> animations/digital-demand/nexus-ai-stakeholder-portal-v2/app-v2.html (elements=130, canvas=0, svg=13, img=0, video=0, card=0)
[76/125] OK  neonvideo-marketing-landing-page-v2 -> animations/digital-demand/neonvideo-marketing-landing-page-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[77/125] OK  martech-ai-landing-page-component-v2 -> animations/digital-demand/martech-ai-landing-page-component-v2/app-v2.html (elements=129, canvas=0, svg=13, img=0, video=0, card=0)
[78/125] OK  kpi-spotlight-mosaic-v2 -> animations/digital-demand/kpi-spotlight-mosaic-v2/app-v2.html (elements=132, canvas=0, svg=13, img=0, video=0, card=0)
[79/125] OK  infracore-deepdive-dashboard-v2 -> animations/digital-demand/infracore-deepdive-dashboard-v2/app-v2.html (elements=128, canvas=0, svg=13, img=0, video=0, card=0)
[80/125] OK  gtmstack-pro-hero-tile -> animations/digital-demand/gtmstack-pro-hero-tile/gtmstackhero-v2.html (elements=118, canvas=0, svg=11, img=0, video=0, card=0)
