Route,Title,Local File Name,Update-Library,Media Type,Notes
/expertise/account-based-marketing-abm,ABM,abm-network-dashboard.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/account-based-marketing-abm,ABM,ABM-Pipeline-Strategy.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/account-based-marketing-abm,ABM,ABM-Radar-Analysis.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/account-based-marketing-abm,ABM,ABMTileAnimation.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/content-marketing,Content Marketing,CampaignTile.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/content-marketing,Content Marketing,Content-Engagement-Marketing.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/content-marketing,Content Marketing,ContentMarketing.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/content-marketing,Content Marketing,Content-Marketing.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/customer-experience-cx,Customer Experience (CX),ContentMarketingAnimation.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/customer-experience-cx,Customer Experience (CX),GTMAudienceTileHero.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/customer-marketing,Customer Marketing,ContentMarketingHero.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/customer-marketing,Customer Marketing,CRMCampaignsTile.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/demand-generation,Demand Generation,DemandGenerationHero.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/demand-generation,Demand Generation,DemandGenFlow.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/demand-generation,Demand Generation,DemandGenTile.tsx,src/data/animations.ts,animation,hero-tiles
/industries/developer-tools/,Developer Tools & DevOps,Developer-Marketing.tsx,src/data/animations.ts,animation,hero-tiles
/industries/developer-tools/,Developer Tools & DevOps,DevMarketers.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/email-marketing,Email Marketing,DemandGenerationHeroTile.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/email-marketing,Email Marketing,EmailMarketingHero.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/event-marketing,Event Marketing,EventMarketing.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/event-marketing,Event Marketing,ExecutiveLogisticsDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/growth-marketing,Growth Marketing,ContentGrowthDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/growth-marketing,Growth Marketing,GrowthMarketingHero.tsx,src/data/animations.ts,animation,hero-tiles
/industries/education/,K-12 and High-Education,EduMarketersDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/industries/education/,K-12 and High-Education,HigherEDMarketingTile.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/lifecycle-marketing,Lifecycle Marketing,ApexShieldLifecycleEngine.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/lifecycle-marketing,Lifecycle Marketing,NexusStakeholderPortal.tsx,src/data/animations.ts,animation,hero-tiles
/industries/manufacturing,Manufacturing,IndustrialDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/industries/manufacturing/,Manufacturing,Manufacturing-LifecycleDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/marketing-operations,Marketing Operations,Marketing-Analytics-Carousel.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/marketing-operations,Marketing Operations,MarketingOperationsTile.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/marketing-operations,Marketing Operations,PipelineDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/omnichannel-marketing,Omnichannel Marketing,Omni-Analytics.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/omnichannel-marketing,Omnichannel Marketing,QuantumDashboard.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/search-engine-optimization,SEO,SEOAnimation.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/search-engine-optimization,SEO,SEO-GrowthFlow.tsx,src/data/animations.ts,animation,hero-tiles
