route,fileRef,pageTitle,templateId,contentKey,theme,heroVisualId
/,content/home.ts,Home,home.main,home:main,,
/expertise/demand-growth,content/expertise.ts,Demand & Growth,Uploaded_Expertise_DemandGrowth_v1,pillar:demand-growth,dark,
/expertise/demand-generation,content/expertise.ts,Demand Generation,expertise.category,expertise:demand-generation,dark,
/industries/healthcare,content/industries.ts,Healthcare & Health Technology,industry.base,industries:healthcare,light,
/case-studies/event-to-store-lift-retail,content/case-studies.ts,Event-to-Store Revenue Lift,caseStudy.base,case-studies:event-to-store-lift-retail,dark,
/expertise/content-engagement,content/expertise.ts,Content & Engagement,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,
/expertise,content/expertise/main.ts,Expertise,expertise.main,expertise:main,dark,
/industries,content/industries/main.ts,Industries,industries.main,industries:main,dark,
/gallery,content/gallery/main.ts,Animation Gallery,gallery.main,gallery:main,dark,
/p/test,content/home.ts,Test CMS Page,home.main,home:main,dark,
/about,content/about.ts,About GTM Stack,home.main,about:main,dark,
/contact,content/contact.ts,Contact Us,home.main,contact:main,light,
/resume,content/resume.ts,Resume,home.main,resume:main,light,
/projects,content/projects/main.ts,Projects,projects.main,projects:main,dark,
/expertise/analytics,content/expertise.ts,Analytics & Insights,expertise.topic,expertise:marketing-analytics-reporting,dark,
/expertise/automation,content/expertise.ts,Marketing Automation,expertise.topic,expertise:marketing-automation,dark,
/expertise/optimization,content/expertise.ts,Revenue Optimization,expertise.topic,expertise:revenue-operations,dark,
/expertise/strategy,content/expertise.ts,GTM Strategy,expertise.topic,expertise:gtm-strategy-development,dark,
/expertise/strategy-insights,content/expertise.ts,Strategy & Insights,expertise.category,pillar:strategy-insights,dark,
/expertise/systems-operations,content/expertise.ts,Systems & Operations,expertise.category,pillar:systems-operations,dark,
/industries/b2b-saas,content/industries.ts,B2B SaaS,industry.base,industries:b2b-saas,light,
/industries/financial-services,content/industries.ts,Financial Services,industry.base,industries:financial-services,light,
/services/demand-generation,content/expertise.ts,Demand Generation,expertise.topic,expertise:demand-generation,dark,
/industries/manufacturing,content/industries.ts,Manufacturing,industry.base,industries:manufacturing,dark,
/industries/retail,content/industries.ts,Retail & Consumer,industry.base,industries:retail,dark,
/industries/fleet-management-logistics,content/industries.ts,Fleet & Logistics,industry.base,industries:fleet-management-logistics,dark,
/industries/pubsec-government,content/industries.ts,Public Sector & Gov,industry.base,industries:pubsec-government,dark,
/services/content-marketing,content/expertise.ts,Content Marketing,expertise.topic,expertise:content-engagement,dark,
/services/paid-advertising,content/expertise.ts,Paid Advertising,expertise.topic,expertise:digital-marketing,dark,
/services/seo,content/expertise.ts,SEO & Organic,expertise.topic,expertise:digital-marketing,dark,
/services/social-media,content/expertise.ts,Social Media,expertise.topic,expertise:digital-marketing,dark,
/services/video-creative,content/expertise.ts,Video & Creative,expertise.topic,expertise:digital-marketing,dark,
/case-studies,content/case-studies.ts,Case Studies,home.main,home:main,dark,
