Route,Page Title,Template,Content Key,Theme,Data Source,Section-Pillar,Status
/expertise,Expertise,expertise.main,expertise:main,dark,content/expertise/main.ts,,
/expertise/content-engagement,Content & Engagement,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Content & Engagement,Completed
/expertise/content-marketing,Content Creation & Personalization,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Content & Engagement,
/expertise/event-marketing,Event & Tradeshow Management,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Content & Engagement,
/expertise/social-media-marketing,Social Media & Reputation Management,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Content & Engagement,
/expertise/search-engine-optimization,Search Engine Optimization & Management (SEO & SEM),Uploaded_Expertise_DemandGrowth_v1,default:content,dark,content/expertise.ts,Content & Engagement,
/expertise/web-design-ui-ux,Responsive Web Design & UI/UX,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Content & Engagement,
/expertise/account-based-marketing,Account-Based Marketing (ABM),Uploaded_Expertise_DemandGrowth_v1,default:content,dark,content/expertise.ts,Demand & Growth,
/expertise/demand-generation,Demand Generation Campaigns,Uploaded_Expertise_DemandGrowth_v1,expertise:demand-generation,dark,content/expertise.ts,Demand & Growth,
/expertise/demand-growth,Demand & Growth,Uploaded_Expertise_DemandGrowth_v1,pillar:demand-growth,dark,content/expertise.ts,Demand & Growth,Completed
/expertise/lead-gen-scoring,Lead Generation & Scoring,Uploaded_Expertise_DemandGrowth_v1,default:content,dark,content/expertise.ts,Demand & Growth,
/expertise/paid-advertising-sem,Paid Media & Funnel Optimization,Uploaded_Expertise_DemandGrowth_v1,default:content,dark,content/expertise.ts,Demand & Growth,
/expertise/sales-enablement,Upsell/Cross-Sell Strategies,Uploaded_Expertise_DemandGrowth_v1,default:content,dark,content/expertise.ts,Demand & Growth,
/expertise/competitive-intel,Competitive Intelligence & Positioning,Uploaded_StratInsights_v1,default:content,dark,content/expertise.ts,Strategy & Insights,
/expertise/customer-marketing,Customer Marketing & Journey Mapping,Uploaded_StratInsights_v1,default:content,dark,content/expertise.ts,Strategy & Insights,
/expertise/product-marketing,Product Marketing,Uploaded_StratInsights_v1,default:content,dark,content/expertise.ts,Strategy & Insights,
/expertise/roi-analysis,ROI & Break-Even Analysis,Uploaded_StratInsights_v1,default:content,dark,content/expertise.ts,Strategy & Insights,
/expertise/strategy,GTM Strategy,Uploaded_StratInsights_v1,expertise:gtm-strategy-development,dark,content/expertise.ts,Strategy & Insights,
/expertise/strategy-insights,Strategy & Insights,Uploaded_StratInsights_v1,pillar:strategy-insights,dark,content/expertise.ts,Strategy & Insights,Completed
/expertise/analytics,Reporting Dashboards & Attribution,Uploaded_SystemOperations_v1.tsx,default:content,dark,content/expertise.ts,Systems & Operations,
/expertise/crm-mangement,CRM Management & Integration,Uploaded_SystemOperations_v1.tsx,default:content,dark,content/expertise.ts,Systems & Operations,
/expertise/marketing-analytics-reporting,Marketing Analytics & Reporting,Uploaded_SystemOperations_v1.tsx,expertise:marketing-analytics-reporting,dark,content/expertise.ts,Systems & Operations,
/expertise/marketing-automation,Marketing Automation & Workflows,Uploaded_SystemOperations_v1.tsx,expertise:marketing-automation,dark,content/expertise.ts,Systems & Operations,
/expertise/martech-optimization,Tech Stack Optimization & Enablement,Uploaded_SystemOperations_v1.tsx,default:content,dark,content/expertise.ts,Systems & Operations,
/expertise/systems-operations,Systems & Operations,Uploaded_SystemOperations_v1.tsx,pillar:systems-operations,dark,content/expertise.ts,Systems & Operations,Completed
/industries/cybersecurity,Cybersecurity,Uploaded_B2BTechIndustry_v1.tsx,default:content,dark,content/industries.ts,,
/industries/developer-tools,Developer Tools & DevOps,Uploaded_B2BTechIndustry_v1.tsx,default:content,dark,content/industries.ts,,
/industries/energy-utilities,Energy & Utilities,Uploaded_IndustrialIndustry_v1.tsx,default:content,dark,content/industries.ts,,
/industries/financial-services,Financial Services,Uploaded_Sector_v1.tsx,default:content,dark,content/industries.ts,,
/industries/fleet-management-logistics,Fleet & Logistics,Uploaded_Sector_v1.tsx,default:content,dark,content/industries.ts,,
/industries/healthcare,Healthcare & HLS Technology,Uploaded_Healthcare_v1.tsx,default:content,dark,content/industries.ts,,
/industries/manufacturing,Manufacturing,Uploaded_Sector_v1.tsx,default:content,dark,content/industries.ts,,
/industries/pubsec-government,Public Sector & Government,Uploaded_Sector_v1.tsx,default:content,dark,content/industries.ts,,
/industries/retail,Retail ,Uploaded_B2BTechIndustry_v1.tsx,default:content,dark,content/industries.ts,,
/industries/supply-chain-logistics,Supply Chain & Logistics,Uploaded_IndustrialIndustry_v1.tsx,default:content,dark,content/industries.ts,,
/industries/technology-saas,B2B SaaS & Technology,Uploaded_B2BTechIndustry_v1.tsx,default:content,dark,content/industries.ts,,
/industries/non-profit-education,Non-Profit & Education,Uploaded_EDUtech_v1.tsx,default:content,dark,content/industries.ts,,
/case-studies,Case Studies,Uploaded_CaseStudies_v1.tsx,default:content,dark,content/cases-studies.ts,,
/case-studies,Each page title,Uploaded_CaseStudySingle_v1.tsx,,dark,content/cases-studies.ts,,
